username,articleTitle,likeStatus,skipStatus
thh,Taiwan’s president arrives in Hawaii for a 2-day stop in the US as part of South Pacific visit - The Associated Press,like
thh,Taiwan’s president arrives in Hawaii for a 2-day stop in the US as part of South Pacific visit - The Associated Press,like
thh,"Education is life",like
thh,health is important,like
thh,"Education is life",like
thh,"Education is life",like
thh,"Education is life",like
thh,"Education is life",like
thh,"Education is life",didn't like,skip
thh,Taiwan’s president arrives in Hawaii for a 2-day stop in the US as part of South Pacific visit - The Associated Press,didn't like,didn't skip
